"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"1","Aq001","1",0,1,0,2,11,8,1.83333,2,2,1.33333,78.5714,15,13.4184524045707,39.9266720434623
"2","Aq002a","4",0,1,3,1,10,4,0.166667,0,4,3.5,81.4286,11,8,54
"3","Aq003","4",0,1,4,3,9,10,2.66667,0.666667,1.33333,3.16667,83.8571,10,9,36
"4","Aq004","4",0,1,3,1,8,6,0.333333,1,1.33333,1.5,84.2857,15,8,39
"5","Aq005a","4",1,1,4,1,8,5,1.16667,0,3.66667,3.33333,66,10,10,54
"6","Aq006","4",1,1,4,1,8.17909594266752,5,0.333333,0.372820514163886,2.77830835004695,3.16667,27.4286,7,8.70851717334825,47.0365016380265
"7","Aq007","4",1,1,3,0,9,2,0.833333,0.666667,3.66667,3.16667,46.4286,9,6,57
"8","Aq008","1",1,1,4,0,9,2,0,0,4,4,88.4286,6,6,55
"9","Aq009","5",0,1,4,0,7,8,0,0,3,2.66667,23.3333,13,8,55
"10","Aq010","5",0,1,4,0,6,1,2.16667,2.33333,3.33333,3.83333,17.1667,13,14.8683298755441,53.0876666928877
"11","Aq011","5",0,1,4,0,7,3,0.166667,0,1.66667,3.16667,96.8571,5,7,44
"12","Aq012","4",0,1,0,0,14,7,0.166667,0,0,1.66667,72.2857,8,10.2862620867144,38.9245558203115
"13","Aq014","1",1,1,3,1,5,6,0.5,0,3,3.83333,97.1429,5,6,51
"14","Aq015","5",0,1,2,0,11,7,0,0.333333,3,3.66667,97.7143,6,6,58
"15","Aq016","4",1,1,3,0,8,0,0.666667,0.666667,2.66667,3.16667,72.8571,8,5,51
"16","Aq017","5",1,1,2,1,7,1,2.33333,3,2.66667,2.83333,67.1429,10,5,52
"17","Aq018","5",0,1,4,0,5,2,0,0,4,4,93,6,10,60
"18","Aq019","4",1,1,2,0,11.0567114818606,8,0.833333,0.872625680294642,0.92072992228354,1.16667,20.8333,14,13.2269111384077,35.3337763691965
"19","Aq020","5",1,1,2,2,9,9,1.16667,1.33333,2.33333,2.16667,78.1429,11,13,52
"20","Aq021","5",0,1,2,2,7,8,2.16667,2,2,1.83333,99.8571,11,10,45
"21","Aq022","5",0,1,4,2,5,6,2.83333,0,0,1.66667,72.5714,24,13,55
"22","Aq023","5",1,1,4,0,8,6,0.666667,0.666667,3.66667,3.16667,87.8571,14,15,52
"23","Aq024","5",1,1,4,0,8,7,0,0,2.33333,2.66667,92.8571,23,12,60
"24","Aq025","5",0,1,4,1,6,4,1,0.666667,3.33333,3.66667,100,6,6,54
"25","Aq026","5",1,1,4,0,6,2,0.166667,0,4,3.16667,85.1429,6,5,50
"26","Aq027","1",1,1,1,2,16,7,3.16667,3.66667,0,0.166667,27.8571,11,8,29
