"subjectid","cond","race","tma","si","mw1","mw2","under_avg","worry0","enjoy0","worry1","enjoy1","worry2","enjoy2","HOT","X","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"Aq001","0",NA,11,NA,3,NA,78.5714285714286,2,0,1.83333333333333,1.33333333333333,2,2,0.375,1,1,0,1,0,2,11,8,1.83333,2,2,1.33333,78.5714,15,13.4184524045707,39.9266720434623
"Aq002a","1",4,10,54,2.2,1.6,81.4285714285714,1,3,0.166666666666667,3.5,0,4,0.5,2,4,0,1,3,1,10,4,0.166667,0,4,3.5,81.4286,11,8,54
"Aq003","1",4,9,36,2,1.8,83.8571428571429,3,4,2.66666666666667,3.16666666666667,0.666666666666667,1.33333333333333,0.875,3,4,0,1,4,3,9,10,2.66667,0.666667,1.33333,3.16667,83.8571,10,9,36
"Aq004","1",4,8,39,3,1.6,84.2857142857143,1,3,0.333333333333333,1.5,1,1.33333333333333,0,4,4,0,1,3,1,8,6,0.333333,1,1.33333,1.5,84.2857,15,8,39
"Aq005a","1",4,8,54,2,2,66,1,4,1.16666666666667,3.33333333333333,0,3.66666666666667,0.75,5,4,1,1,4,1,8,5,1.16667,0,3.66667,3.33333,66,10,10,54
"Aq006","0",NA,NA,NA,1.4,NA,27.4285714285714,1,4,0.333333333333333,3.16666666666667,NA,NA,0.5,6,4,1,1,4,1,8.17909594266752,5,0.333333,0.372820514163886,2.77830835004695,3.16667,27.4286,7,8.70851717334825,47.0365016380265
"Aq007","0",4,9,57,1.8,1.2,46.4285714285714,0,3,0.833333333333333,3.16666666666667,0.666666666666667,3.66666666666667,0.125,7,4,1,1,3,0,9,2,0.833333,0.666667,3.66667,3.16667,46.4286,9,6,57
"Aq008","1",1,9,55,1.2,1.2,88.4285714285714,0,4,0,4,0,4,0.25,8,1,1,1,4,0,9,2,0,0,4,4,88.4286,6,6,55
"Aq009","1",5,7,55,2.6,1.6,23.3333333333333,0,4,0,2.66666666666667,0,3,0.4375,9,5,0,1,4,0,7,8,0,0,3,2.66667,23.3333,13,8,55
"Aq010","0",NA,6,NA,2.6,NA,17.1666666666667,0,4,2.16666666666667,3.83333333333333,2.33333333333333,3.33333333333333,0.5,10,5,0,1,4,0,6,1,2.16667,2.33333,3.33333,3.83333,17.1667,13,14.8683298755441,53.0876666928877
"Aq011","0",5,7,44,1,1.4,96.8571428571429,0,4,0.166666666666667,3.16666666666667,0,1.66666666666667,0.375,11,5,0,1,4,0,7,3,0.166667,0,1.66667,3.16667,96.8571,5,7,44
"Aq012","1",NA,14,NA,1.6,NA,72.2857142857143,0,0,0.166666666666667,1.66666666666667,0,0,0.125,12,4,0,1,0,0,14,7,0.166667,0,0,1.66667,72.2857,8,10.2862620867144,38.9245558203115
"Aq014","0",1,5,51,1,1.2,97.1428571428571,1,3,0.5,3.83333333333333,0,3,0.75,13,1,1,1,3,1,5,6,0.5,0,3,3.83333,97.1429,5,6,51
