"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"1","1",0,1,2,1,3,2,2,1,1.83333333333333,4,4,5,4,5,5,5,4,5,4,5,4,5,4,2,2,2,2,3,5,5,1,2,1,2,2,0.366666666666667,81.4285714285714,0
"2","1",0,1,1,2,3,1,2,3,2,3,2,2,1,4,2,3,3,4,4,5,3,4,1,2,3,1,2,2,5,5,1,2,1,2,3,0.9,83.8571428571429,0
"3","1",0,1,1,1,1,2,3,5,2.16666666666667,2,4,3,3,4,2,2,3,4,4,4,4,2,3,4,5,3,1,2,4,5,2,2,2,1,1,0.5,84.2857142857143,0
"4","1",1,1,2,2,1,1,2,2,1.66666666666667,4,5,4,4,5,4,5,4,5,5,5,4,4,3,2,4,1,2,1,6,6,2,3,1,2,2,0.6,66,0
"5","0",1,1,2,1,1,3,2,3,2,5,5,4,5,4,5,5,5,5,5,5,4,5,5,2,3,2,1,1,6,6,2,1,1,1,1,0.166666666666667,46.4285714285714,0
"6","1",1,1,2,3,1,1,2,1,1.66666666666667,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,1,1,1,1,6,6,2,1,1,1,1,0.266666666666667,88.4285714285714,0
"7","1",0,1,2,2,1,1,1,2,1.5,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,2,1,1,5,6,6,2,1,1,1,3,0.466666666666667,23.3333333333333,0
"8","0",0,1,1,1,1,2,2,2,1.5,4,3,4,4,3,4,4,4,2,4,4,4,4,3,1,1,1,1,1,6,6,1,1,1,2,2,0.5,96.8571428571429,0
"9","0",0,1,2,1,2,3,4,4,2.66666666666667,3,3,2,4,3,4,3,4,3,3,3,3,2,3,1,2,3,3,2,6,6,3,4,3,2,3,0.533333333333333,95.8571428571429,0
"10","0",1,1,1,1,1,1,1,3,1.33333333333333,5,4,4,4,4,5,5,4,4,4,4,4,4,4,1,1,1,1,1,6,2,1,2,1,1,1,0.366666666666667,97.1428571428571,0
"11","1",0,1,2,1,1,2,5,3,2.33333333333333,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,1,1,2,1,6,6,1,1,1,2,1,0.233333333333333,97.7142857142857,0
"12","0",1,1,2,2,1,1,2,2,1.66666666666667,5,4,4,4,4,4,4,4,5,5,4,4,5,3,2,1,3,1,1,3,4,1,1,1,1,1,0.366666666666667,72.8571428571429,0
"13","1",1,1,2,1,1,2,1,1,1.33333333333333,5,4,4,4,5,5,5,5,4,4,3,4,4,2,1,1,6,1,1,6,6,1,1,1,1,1,0.666666666666667,67.1428571428571,0
"14","0",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,6,6,1,1,1,1,6,0.6,93,0
"15","0",1,1,2,1,1,2,3,3,2,4,5,4,4,4,4,4,4,5,5,4,5,4,5,2,3,2,2,2,5,5,3,2,2,4,2,0.533333333333333,78.1428571428571,0
"16","0",0,1,2,1,2,1,1,1,1.33333333333333,4,4,3,3,4,4,4,4,4,4,4,3,4,4,2,2,3,1,3,3,3,2,3,1,1,3,0.633333333333333,99.8571428571429,0
"17","1",0,1,1,1,1,1,1,1,1,5,4,5,4,4,5,5,5,5,5,4,4,4,4,4,6,5,4,5,5,4,3,2,3,2,3,0.333333333333333,72.5714285714286,0
"18","0",1,1,1,1,2,1,3,2,1.66666666666667,4,5,4,5,4,4,4,5,5,4,4,4,5,5,2,3,5,2,2,4,5,3,4,6,1,1,0.2,87.8571428571429,0
"19","1",1,1,1,1,1,2,3,1,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,6,4,4,4,4,4,1,2,2,3,0.333333333333333,92.8571428571429,0
"20","1",0,1,1,1,1,1,2,2,1.33333333333333,5,5,4,4,5,4,4,4,4,5,5,5,5,3,2,1,1,1,1,1,1,2,1,1,1,1,0.666666666666667,100,0
"21","0",1,1,1,1,1,1,2,1,1.16666666666667,4,3,3,4,4,4,4,5,4,5,5,5,3,4,2,1,1,1,1,5,6,1,1,1,1,1,0.4,85.1428571428571,0
"22","1",1,1,5,2,3,2,4,5,3.5,3,3,1,1,2,3,2,2,3,3,3,3,3,2,4,3,1,1,2,4,3,2,2,1,2,1,0.4,27.8571428571429,0
"23","0",0,1,2,1,1,1,2,1,1.33333333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,6,2,2,2,2,2,2,2,1,0.533333333333333,58.5714285714286,0
"24","0",0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,0.466666666666667,73.5714285714286,0
"25","0",1,1,1,1,1,1,2,1,1.16666666666667,4,4,5,3,4,3,3,4,4,4,3,4,3,3,2.53846153846154,2.46153846153846,2.15384615384615,1.76923076923077,2.07692307692308,4.30769230769231,4.30769230769231,4,2,3,3,2,0.466666666666667,47.75,0
